train_loss,val_loss,otp_alpha_epoch,otp_alpha_value,fgd_t0,fgd_t1,fgd_t2,fgd_t3,fgd_t4,fgd_t2_t4,w2_t0,w2_t1,w2_t2,w2_t3,w2_t4,w2_t2_t4,swd_t0,swd_t1,swd_t2,swd_t3,swd_t4,swd_t2_t4,mmd_t0,mmd_t1,mmd_t2,mmd_t3,mmd_t4,mmd_t2_t4,w1_t0,w1_t1,w1_t2,w1_t3,w1_t4,w1_t2_t4,metric_epochs
0.9995369050237868,0.9999340772628784,0.0,0.04742587317756678,0.0,8.216057408338683,13.849290006452447,16.10842457143864,20.105810047196528,16.868023610566425,3.838465079784034e-07,8.54709924909081,14.152051615472368,16.40178093331512,20.302680550352594,,0.0,4.020702072594384,6.1517727071380035,6.45814763744931,9.202465974732752,7.825317657403082,0.0,1.5541375875473022,2.6417348384857178,3.0156822204589844,4.012716770172119,3.0611305236816406,7.304670703436635e-10,1.7193865326170648,2.7324911316545766,3.0073524461982064,4.119303304745078,3.3771244920335213,0.0
0.9991817143228319,0.9992072582244873,0.1111111111111111,0.05382616276922953,0.0,4.205951233452683,6.687753862891509,6.515383923022324,4.621517218160479,5.3190645656143465,3.838465079784034e-07,4.831599341239553,7.353522016959573,7.286006652352939,5.539714038516562,,0.0,1.7888104450689335,2.605014907331941,2.628644608808281,1.904867565372161,1.8173912398341836,0.0,0.4936258792877197,0.7704401016235352,0.7651705741882324,0.43865203857421875,0.328732967376709,7.304670703436635e-10,1.0310664827697371,1.54764553899928,1.6126168030324886,1.269757775067339,1.370738657490025,1.0
0.9991731511221992,0.9992519617080688,0.2222222222222222,0.061034851072991926,0.0,4.275130125560347,6.67350991983135,6.282700183357551,4.446216549299212,5.252317985077818,3.838465079784034e-07,4.892405249123185,7.339216658439994,7.081109743956012,5.394721117466331,,0.0,1.9568536465878077,2.7549394554899136,2.635761310928985,1.7947977139441729,1.808054967108738,0.0,0.5079948902130127,0.7593975067138672,0.6826848983764648,0.36650824546813965,0.30836987495422363,7.304670703436635e-10,1.041109082384823,1.5274638791837034,1.512266631827418,1.1942659833857594,1.3275057153539258,2.0
0.9993080629242791,0.9992961883544922,0.3333333333333333,0.06913842034334682,0.0,4.2001231356221815,6.538726717847958,6.14402207291764,4.360452504494601,5.137793730561626,3.838465079784034e-07,4.8292126850488195,7.217683939421152,6.963782358354879,5.334665046393423,,0.0,1.8738591959749114,2.6266877981263974,2.530247534659219,1.6409112161884147,1.6943722926352052,0.0,0.4901769161224365,0.7083799839019775,0.6273834705352783,0.32911252975463867,0.27635812759399414,7.304670703436635e-10,1.0217397845818426,1.4799893881039605,1.4605522408483398,1.1593220208187316,1.2868480158436462,3.0
0.9993721975220574,0.9994965195655823,0.4444444444444444,0.07822825945178397,0.0,4.115292707124841,6.4334163685839645,6.0471803654839915,4.102986755775948,5.002677861912296,3.838465079784034e-07,4.759084048553501,7.1275605414204275,6.887528029495842,5.147999221793157,,0.0,1.7710093597839123,2.5428189516774804,2.3500353380193646,1.541633653622734,1.672148090871449,0.0,0.4646270275115967,0.6423826217651367,0.555635929107666,0.2757599353790283,0.24332094192504883,7.304670703436635e-10,0.993687547621317,1.4187726378719465,1.4088258460990704,1.1111380753849631,1.2331977432520562,4.0
0.9994137419594659,0.9993637204170227,0.5555555555555556,0.08839967720705841,0.0,4.003852290226692,6.271657755981426,5.9139821222212134,3.919594267470296,4.828543036938081,3.838465079784034e-07,4.666261952473589,6.985779207880881,6.775207822417992,5.0161580133355415,,0.0,1.7803336281064985,2.428517834639159,2.4153672016880505,1.5397582738529865,1.6710646268446665,0.0,0.4378197193145752,0.5731120109558105,0.48685598373413086,0.2347869873046875,0.20908260345458984,7.304670703436635e-10,0.9641156827819998,1.3513134804852158,1.3500874980801718,1.0625224178641584,1.1751879777667238,5.0
0.9993428058094449,0.9993222951889038,0.6666666666666666,0.09975048911968513,0.0,3.9187251902449014,6.1510446658512485,5.831308210759641,3.76288589779472,4.676967743195112,3.838465079784034e-07,4.595239787127994,6.879486310426165,6.703088038161742,4.897869468361283,,0.0,1.6646407589288477,2.6520771294746104,2.1699931483606787,1.4533030818250188,1.5258272723846824,0.0,0.41887354850769043,0.5277578830718994,0.44919276237487793,0.21151375770568848,0.18831825256347656,7.304670703436635e-10,0.9432961864503179,1.3055682722111783,1.3177571918704156,1.0219956772519307,1.1315731516580443,6.0
0.9992607037226359,0.9994778037071228,0.7777777777777778,0.11237910934135678,0.0,3.826466192283555,6.056013877970543,5.805698873555186,3.6426679385804865,4.564030862521444,3.838465079784034e-07,4.517705575251862,6.793577836605344,6.67532400487431,4.803701931536311,,0.0,1.6083180281623828,2.3158777557748613,2.340575592998875,1.5256442706151052,1.6038704511486137,0.0,0.3983306884765625,0.48825836181640625,0.42676448822021484,0.19961881637573242,0.17455625534057617,7.304670703436635e-10,0.9209952372063666,1.2665815748590783,1.3040091323249907,0.9964128094207663,1.0981419290173926,7.0
0.9992294907569885,0.9992668032646179,0.8888888888888888,0.1263820893580129,0.0,3.744953507447662,5.980285476545452,5.789614938822011,3.5034046315996745,4.453350625236399,3.838465079784034e-07,4.449672539032868,6.724649263243809,6.6562668255125494,4.697030183942432,,0.0,1.5715385591698539,2.269251817414468,2.439341492951253,1.3144652576503795,1.2973610279738061,0.0,0.3814859390258789,0.46206212043762207,0.41698694229125977,0.19016742706298828,0.16683721542358398,7.304670703436635e-10,0.9031246046956638,1.2407652728723397,1.3022731558889917,0.9763501999964077,1.0731750626290248,8.0
0.9992366565598382,0.9991466403007507,1.0,0.14185106490048782,0.0,3.6590551375767673,5.894869883954403,5.76302043383439,3.41488568509204,4.3492413909552585,3.838465079784034e-07,4.377962215512395,6.648292909549688,6.629109906503611,4.629289675014968,,0.0,1.4253276229918044,2.5279170302252427,2.4194733858459374,1.400085177917911,1.6521953801842386,0.0,0.3647603988647461,0.439054012298584,0.41251373291015625,0.18650007247924805,0.1603100299835205,7.304670703436635e-10,0.8857272339085415,1.2186263721299242,1.3023390987019234,0.9655785563751954,1.0544331890900216,9.0
